JDTDB,Calendar Date (TDB),delta-T,X,Y,Z,VX,VY,VZ,Calendar Date (UTC)
2461137.356921296, A.D. 2026-Apr-06 20:33:58.0000,69.185632,-143913357.1400475,-40512991.97879294,-17581245.88206208,9.388388317767356,-25.82678919745694,-12.89706962189361,2026-04-06T20:32:48.814360
2461137.357615741, A.D. 2026-Apr-06 20:34:58.0000,69.185632,-143912792.0971923,-40514540.21745745,-17582018.32406885,9.446106125487717,-25.78145827462573,-12.85033471129777,2026-04-06T20:33:48.814396
2461137.358310185, A.D. 2026-Apr-06 20:35:58.0000,69.185632,-143912223.6344124,-40516085.8073191,-17582787.85293459,9.502357354067762,-25.73849978410188,-12.79998282656801,2026-04-06T20:34:48.814352
2461137.35900463, A.D. 2026-Apr-06 20:36:58.0000,69.185632,-143911651.8439939,-40517628.89380748,-17583554.25589224,9.556998143374607,-25.6980197262441,-12.74615662372462,2026-04-06T20:35:48.814389
2461137.359699074, A.D. 2026-Apr-06 20:37:58.0000,69.185632,-143911076.8270658,-40519169.62901011,-17584317.32921499,9.609878064462748,-25.6601291657281,-12.68901922594944,2026-04-06T20:36:48.814386
2461137.360393519, A.D. 2026-Apr-06 20:38:58.0000,69.185632,-143910498.6936145,-40520708.17110728,-17585076.87972293,9.660856017511517,-25.62491859973792,-12.62875564185694,2026-04-06T20:37:48.814422
2461137.361087963, A.D. 2026-Apr-06 20:39:58.0000,69.185632,-143909917.561391,-40522244.6831956,-17585832.72543395,9.709815085355748,-25.59246350854995,-12.56555051107916,2026-04-06T20:38:48.814378
2461137.361782407, A.D. 2026-Apr-06 20:40:58.0000,69.185632,-143909333.5547398,-40523779.33280962,-17586584.69504819,9.756647060943935,-25.56283865616818,-12.49957646842556,2026-04-06T20:39:48.814335
2461137.362476852, A.D. 2026-Apr-06 20:41:58.0000,69.185632,-143908746.8048176,-40525312.29199567,-17587332.62773392,9.801232919056792,-25.53611774586012,-12.43101311404334,2026-04-06T20:40:48.814371
2461137.363171296, A.D. 2026-Apr-06 20:42:58.0000,69.185632,-143908157.4499848,-40526843.73695038,-17588076.37397964,9.843455334549244,-25.51236399825036,-12.36005849614012,2026-04-06T20:41:48.814368
2461137.363865741, A.D. 2026-Apr-06 20:43:58.0000,69.185632,-143907565.6351233,-40528373.84717122,-17588815.79641744,9.88321449151965,-25.49162459891022,-12.28691545256158,2026-04-06T20:42:48.814404
2461137.364560185, A.D. 2026-Apr-06 20:44:58.0000,69.185632,-143906971.5108062,-40529902.80469612,-17589550.76965627,9.92041840383539,-25.4739385439739,-12.21178104678485,2026-04-06T20:43:48.814360
2461137.365254629, A.D. 2026-Apr-06 20:45:58.0000,69.185632,-143906375.2330615,-40531430.79376985,-17590281.18012524,9.954977422458823,-25.45934047448607,-12.13485332707696,2026-04-06T20:44:48.814317
2461137.365949074, A.D. 2026-Apr-06 20:46:58.0000,69.185632,-143905776.9631407,-40532958.00058453,-17591006.92629298,9.986807775876674,-25.44786033379498,-12.0563357779033,2026-04-06T20:45:48.814353
2461137.366643519, A.D. 2026-Apr-06 20:47:58.0000,69.185632,-143905176.8671014,-40534484.61293319,-17591727.9189946,10.01583280999038,-25.43952133186547,-11.97643709371859,2026-04-06T20:46:48.814430
